tam,kan,mal,tel
apiprayam,abhipraya,,
mantiram,mantra,tantram,
nattikan,nastikate,,
kanitam,ganita,kanakkusastram,
kanakkitu,,kanakku,
iyarkanitam,bija ganita,bijaganitam,
iyantiraviyal,yantra-vidye,,
tatuviyal,,loha vijnanam,
manitaviyal,manavasastra,naravamsasastram,
puranam,pauranika,,
camukavinnanam,samaja vijnana,samuhika vijnanam,
ankilam,inglis,inglis,
niticastiram,nitisastra,nitisastram,
tarkakacastiram,tarkasastra,tarkkasastram,
parapatcam,paksapata,paksapatam,
kauravam,gaurava,,
tiviravatam,,tivravadam,
nattikkavatam,nastikate,nastikan,
kiristuva matam,,kristu matam,
yuta matam,,juta matam,
yuta markam,,yahuda matam,
yuta camayam,,yahuda matam,
islamiyamatam,islam darma,islam matam,
yokacastiram,yoga darsana,,
jayina matam,jaina dharma,jainamatam,
jeyinamatam,jaina dharma,jainamatam,
cikkiya matam,,sikku matam,
tapal,tapalu,tapal,
pacai,bhase,bhasa,
vakkiyam,vakya,vakyam,
mulam,mula,mulam,
kariyam,kriya,kriya,
inam,linga,lingam,
kalam,kala,kalam,
mutintakalam,bhuta,bhutakalam,
irantakalam,bhuta,bhutakalam,
vimarcanam,,vimarsanam,
kavitai,kavana,kavita,
makakaviyam,maha-kavya,mahakavyam,
cantam,carana,caranam,
caranam,carana,caranam,
pakam,patha,patham,
totakkam,,tutakkam,
arimukam,,amukham,
kaiyoppam,,kaiyopp,
kaiyeluttupirati,,kayyeluttuprati,
puttakam,pustaka,pustakam,
patapputtakam,,pathapustakam,
akarati,,akaradi,
paipil,baibal,baibil,
vetam,veda,vedam,
pativam,pharamu,,
recan kartu,resan kard,resankard,
pattiyal,,pattika,
nakal,nakalu,,
kuppan,kupan,kuppan,
cittu,,citt,
upaviti,upa-nibandhane,,
anumati katitam,,anumati patram,
anumati,anumati,anumati,
camman,,samans,
patippu,,patipp,
pattirikkai,,varika,
visayam,visaya,visayam,
cinima,sinema,sinima,
tanti,tanti,,
arivippu,,ariyipp,
pataccinnam,pada cinhe,,
tarkkam,tarka,tarkkam,
tattuvam,tattva,,
piraccaram,pracara,pracaranam,
ankikaram,angikarana,angikaram,
taktaret,,doktarerr,
apavatam,apavada,apavadam,
natippu,,natipp,
emarri,emarisu,,
kurippu,,kuripp,
ahimcai,ahimsa,ahimsa,
roman en,roman anke,roman sankhya,
civalinkam,linga,sivabimbam,
linkam,linga,lingam,
roman,,roman,
kantaram,,gandharam,
svastik,svastika,svasthika,
java,,java,
taymoli,,taymoli,
kiriyol,kriyol,,
turkmenistan moli,,turkmenistanibhasa,
ajarpaijan moli,,ajarbaijani,
ujapek,,usbek,
jappani,,jappanis,
armeniya moli,,armeniyayi,
rasya pasai,rasyayan-bhase,rasyanbhasa,
