tam,kan,mal,tel
,syama,syama,
,subhra,subhra,
,dhavala,,dhavalima
,sukla,suklam,
,sveta,sveta,saphedu
,dhavala,,dhavalam
,sveta,sveta,
,trivarna,trivarnna,
,trivarna,trivarnna,trivarnamu
,varnarahitavada,varnna rahitamaya,
,varnarahitavadanta,varnna rahitamaya,varna rahitamaina
,kraista dharmiya,,kraistavaparamaina
,malina,,malinyamu
,svaccavalladanta,svacchamallatta,
,malina,,malinamu
,sabhyavada,sabhyamaya,
,asuddhavada,asuddhamaya,
,asprusyavada,,asprsyulaina
,paradarsaka,,paradarsakamaina
,paradarsakavadanta,,paradarsiyaina
,murkhanada,,murkhudaina
,mandabuddhiya,mandabuddhiyaya,mandabuddhiyaina
,mandabuddhiya,mandabuddhiyaya,
,sannihita,,sannidhigala
,samipavada,,samipyamaina
,sanghatita,sanghatitaraya,
,istavada,,istamaina
,atmiya,atma,
,gadhavada,,gadamaina
,vastra-dhari,vastradharikalaya,
,singarisida,,singaramaina
,nagnavada,,nagnamaina
,nirvastravada,vivastramaya,
,prakasanagondantaha,prakasanayogyamaya,
,jvalanasilavadanta,,jvalanasilatagala
,sphotakakariyada,sphotaka samagri,
,visphokakari,,vispotanamaina
,prajvalita,,prajvalincina
,prajasattiya,,prajasvamyam
,prajasattiya,,ganatantramaina
,asadharana,asadharanamaya,
,asadharana,asadharanamaya,asadharanamaina
,asamanyavada,,asamanyamaina
,sanketika,sanketikamaya,
,alpabhasi,,alpabhasigala
,mitabhasiyadanta,mitabhasi,
,mitabhasiyada,mitabhasi,mitabhasigala
,samathyada,samartthanaya,
,yogya,,yogyata
,sarmapitavadanta,samarppananceyta,samarpimpabadina
,sarmapitavadanta,samarppananceyta,
,ananya,ananya,
,aparipakvavada,,aparipakvata
,vyakularahitavada,,vyakulatarahitamaina
,vyakulavilladantaha,vyakulatayillatta,
,vyakularahita,,vyakulataleni
,anasaktanadanta,anasaktanaya,
,sanksepavada,sanksiptamaya,
,sanksepavada,sanksiptamaya,sanksiptamu
,sampurnavadanta,,sampurnamaina
,paripurna,,paripurnamaina
,vahaniya,vahiyaya,
,samyojaka,samyojaka,
,bhajaka,vibhajana,-vibhajakamaina
,vibhajaka,vibhajana,
,vibhajaka,vibhajaka,
,ajeyavadanta,ajayyamaya,
,ajeyavada,ajayyamaya,ajeyamaina
,samarpisida,samarppicca,samarpincina
,samarpisida,samarppicca,
,ullanghane,langhicca,
,racanatmakavada,sargatmaka,
,racanatmakavada,sargatmaka,racanatmakamaina
,santosavilladantaha,santosamillatta,
,asantosiyada,,asantosi
,niyama-palakanada,niyamapalakanaya,
,arajaka,arajaka,
,arajakanada,,aracakamaina
,vivadaspada,,vivadaspadamaina
,asvabhavika,,asvabhavikamaina
,sampradayikavadantaha,,sampradayakamaina
,paramparika,paramparya,
,sahakari,sahakarana,
,bhrastanada,,bhrastudaina
,vikaravallada,vikrtamallatta,
,vikaravallada,virupamallatta,
,asariravada,asariramaya,
,sariradhari,,sariradhari
,sariravulla,saririkamaya,
,sariravulla,saririkamaya,sariram gala
,samskaravanta,samskaramulla,
,samskaraviruvanta,samskaramulla,-samskaravantamaina
,avisvasaniyavada,avisvasaniyamaya,
,avisvasaniyavadantaha,avisvasaniyamaya,avisvasaniyamaina
,mellagannina,,mellakannu
,kiritavilladanta,kiritamillatta,
,rajakiyada,,rajakiyamaina
,ghanakarada,,ghanamaina
,bhedisadanta,abhedyamaya,bhedyamaina
,bhedisadanta,abhedyamaya,
,bhedisadanta,abhedyamaya,abhedyamaina
,asaktihina,,asaktileni
,vartamanada,varttamanakalatte,
,sapagrastha,,sapagrastudaina
,tereyillada,tirassilayillatta,
,hastanirmita,,hastanirmitamaina
,karakusala,karakasala,
,dvaivarsika,dvivarsiyaya,
,nisacara,nisacara,nisacaramu
,nisacaravada,nisacara,
,nirnayaka,nirnnayaka,
,nirnayakanada,nirnnayakamaya,
,aparavada,aparamaya,aparamaina
,aparavadanta,aparamaya,
,alavillada,alamillatta,
,parajitanadanta,parajitanaya,
,parajitanada,parajitanaya,parajitamaina
,avasyakateya,avasyakkaraya,
,atyavasyaka,atyavasyamaya,atyavasaramaina
,atyavasyakavada,atyavasyamaya,
,nirankusa,,nirankusa
,pariksisida,,pariksincina
,pradhana,pradhanamaya,
,nispaksapatavadanta,,paksapatahina
,nispaksapatavadantaha,,nispaksapatamaina
,yuddhagrasthavada,,yuddhagrastamaina
,unnatavada,unnataraya,unnatamaina
,sresthavada,,srestamaina
,unnatavada,unnataraya,
,ekagracitta,ekagracittanaya,
,kastapaduvanta,,kastapadina
,parisramiyada,parisramikkuka,
,nirlaksyada,,nirlaksangala
,suksmadarsi,suksamadarsiyaya,suksmamatiyaina
,suksmadarsi,suksamadarsiyaya,
,aspastavada,aspastamaya,
,aspastavada,spastamallatta,
,aspastavadanta,aspastamaya,aspastamaina
,ekacakradhipati,,ekadhipati
,sahayaka,sahayiyaya,
,sahayaka,sahayiyaya,sahayakudu
,madonmatta,,madonmattudu
,madandha,,madandhudu
,tiksanavallada,tiksanatayillayma,
,tiksanavada,tiksanamaya,
,utsukateya,utsukaraya,
,akalika,akala,
,cintakranta,cintakulanaya,
,cintakranta,cintakanaya,cintakrantudaina
,cintakranta,cintakanaya,
,purvada,purvva,purvabhagana
,purvada,purvva,
,pascimada,pascatya,pascatya
,pascatyada,pascatya,
,svasiksitavada,,svayamsiksagala
,mrutavada,mrtamaya,
,mrutavada,mrtamaya,mrtamaina
,prabhavillada,,prabhavahina
,prabhavasaliyadanta,prabhavasaliyaya,
,prabhavasaliyada,prabhavasaliyaya,prabhavavantamaina
,niyamispalpatta,niyamikkappetta,
,aicchikavada,,aichchikamaina
,anivaryavada,anivaryamaya,anivaryamaina
,bhavanapurnavadanta,,bhavatmakamaina
,bhavapurnavadantaha,,bhavapurnamaina
,bhavanatmakavadanta,,bhavapuritamaina
,bhavanatmaka,,bhavanatmakamaina
,avesapurnavadanta,,avesapuritamaina
,avesapurna,,avesapurnamaina
,bhavanehinavada,bhavarahitamaya,bhavahinamaina
,bhavanehinavadanta,bhavarahitamaya,
,anubhavajanita,,anubhavasiddhamaina
,pidakanada,,pidakudaina
,gunitavaguvanta,,gunincetatuvanti
,amrta-jnani,,antar jnani
,amrta jnaniyada,atmajnaniyaya,
,prayatnasila,,prayatnasiludaina
,nirutsahada,nirutsahiyaya,
,istavillada,istamilla,
,asuyiyada,asuyayulla,asuyagala
,asuyiyada,asuyayulla,
,samabhujavulla,samabhujamulla,
,abhinandaneya,abhinandikkunna,abhinandana
,abhinandaneyanta,abhinandikkunna,
,nityahasurina,nityaharita,
,uttejanaprada,,uttejakaramaina
,romancakavadanta,romancajanakamaya,
,romancanakariyada,romancakaramaya,
,astitvavilladanta,astitvamillatta,
,astitvahinavada,astitvamillatta,asthitvahinanga
,adagida,,dagina
,bahya,,bayati
,bahyavadanta,,bahyamaina
,antarikavadanta,antarikamaya,antarangamaina
,antarikavadanta,antarikamaya,
,antarikavada,antarikamaya,antarikamaina
,antarikavada,antarikamaya,antargatamaina
,guttagitta,,guptamaina
,guttadantaha,,guttamaina
,nila kannina,nilakkannulla,
,okkanninantaha,orrakkannanaya,
,nyayocita,nyayocitamaya,
,nyaya-kartanada,nyayayuktanaya,
,vyabhicariyadantaha,vyabhicariyaya,vyabhicaraina
,vyabhicariyadanta,vyabhicariyaya,
,rajadrohiyada,rajyadrohi,
,rajadrohiyada,rajyadrohi,rajadrohulu
,vancaneya,vancakanaya,vancanaina
,vancaneyanta,vancakanaya,
,drohadanta,,drohiyaina
,drohadanta,,drohamaina
,vancaneyanta,vancakanaya,vancakudaina
,dari tappida,,daritappina
,guri tappadanta,,guri tappani
,paricayaviruva,paricayamulla,
,paricayaviruva,paricayamulla,paricayamaina
,suparicita,suparicitanaya,
,vismayakaraka,vismayakaramaya,
,vismayakaraka,vismayakaramaya,vismayamaina
,bhayankaravada,bhayanakamaya,
,vilaksanadanta,,vilaksanamaina
,andavada,,andamaina
,sighragamiyadanta,sighragatiyaya,
,mahakayada,,mahakayudaina
,alocanatmaka,,-alocanatmakamaina
,hatakanksi,gunakanksi,
,amitavadanta,,amitamaina
,anantavadanta,anantamaya,
,anantavadanta,anantamaya,anantamaina
,antyahinavada,,antahinamaina
,prarambhikavadanta,prarambhikamaya,prarambhapu
,prarambhikavada,prathamikamaya,
,prarambhika,prathamikamaya,arambhapu
,prarambhadantaha,prarambhikamaya,
,antimavada,antyam,antamlo
,antima,antyam,
,antimavada,antyam,antimana
,antima,antyam,antimamuna
,madhyamika,,madhyamika
,angavikalanalladantaha,vikalangamallatta,
,angavikalanallada,angavaikalyamillatta,
,vikalanga,vikalangaraya,
,angavikala,angavaikalyamulla,angavaikalyamaina
,vikalanganada,vikalangaraya,vikalangulaina
,angavikalanadantaha,angavaikalyamulla,
,ayogyavada,ayogyanaya,
,gunguradanta,,ungaralaina
,angikarisida,angikaricca,
,svadesiyavadanta,taddesiyamaya,
,svadesiyavada,svadesiyamaya,svadesi
,desiya,svadesiyamaya,desiya
,svadesiya,svadesiyamaya,
,paradesi,videsiya,
,videsi,videsiya,videsi
,paradesi,videsa,
,paradesi,videsa,paradesi
,antardesiyavada,,antardesiya
,akautumbika,,kutumbankani
,avismaraniya,smaraniyamaya,avismaraniyamaina
,smaraniya,smaraniyamaya,
,anaupacarika,anapacarika,
,saubhagyavanta,bhagyavanaya,
,bhagyasali,sabhagyavanaya,
,saubhagyavanta,sabhagyavanaya,bhagyasaliyaina
,bhagyasali,sabhagyavanaya,bhagyavantudaina
,rdubhagyasaliyada,durbhagyasaliyaya,
,asubha,asubhamaya,asubham
,asubhavada,asubha,
,asubha,asubhamaya,
,suvasaneyanta,,suvasanagala
,parimalada,,parimalamaina
,parimalabharitavadantaha,,parimalabharitamaina
,suvasaneyantaha,,suvasanavantamaina
,durgandada,durgandhapurnnamaya,
,durvasaneya,,durvasanagala
,durgandada,durgandhapurnnamaya,durgandhamaina
,parimalayukta,,parimalangala
,parimalayuktavada,,parimalavantamaina
,gandharahita,,vasana rahita
,vasaneyillada,vasanayillatta,
,vasaneyilladanta,gandhamillatta,
,paradhina,,paradhinudaina
,uppadanta,,uppanaina
,uppada,,uppani
,ksarayukta,,ksaramaina
,snehaparavadanta,,snehapurvakamaina
,sneharahitavadanta,,sneharahitanga
,asaphala,,asaphalamaina
,phalahinavada,phalahinamaya,
,khali,,khali
,visistavadanta,,visistamaina
,paropakariyada,paropakariyaya,
,paropakari,paropakariyaya,paropakariyaina
,paropakari,paropakariyaya,paramarthiyaina
,lobhi,,lobhi
,visala hrudayi,visalahrdayanaya,visalahrdayamugala
,visala hrudayi,visalahrdayanaya,
,visala hrudayi,visalahrdayanaya,udarahrdayangala
,pratibharahita,,pratibha leni
,aprasiddavadanta,prasiddhamallatta,
,aprasiddavadanta,aprasiddhamaya,aprasiddhamaina
,aprasidda,aprasiddhamaya,
,pratikulavadanta,pratikulamaya,
,vyatiriktavada,,vyatirekamaina
,dustha,,dusta
,bhayankara,bhayankara,
,bhisana,bhikara,
,bhisana,bhisana,
,mahapapi,mahapapi,
,kopisthanada,,kopistiyaina
,prasannate,prasanna cittan,
,kanthya,kanthyam,
,kanthya,kanthya,
,kathora hrudayiyadanta,kathinahrdayanaya,
,kathora hrudayi,kathorahrdayanaya,
,kathora hrudayi,kathinahrdayanaya,kathinahrdayangala
,kathora hrudayi,kathinahrdayanaya,kathorahrdayangala
,avamanamaduvanta,,avamanakaramaina
,hanikara,hanikaram,hanikaramaina
,hanikara,hanikaram,
,nindanatmaka,nindatmakamaya,
,nindanatmakavada,nindatmakamaya,nindatmakamaina
,nirdosi,,nirdhosi
,rogakari,,rokakarakalu
,rogakari,,rogajanakalu
,rogavillada,rogamillatta,
,daiva,,daiva
,daivikavada,,daivikamaina
,bharavada,,baruvaina
,socaniyavadanta,,socaniyamaina
,sva-jatiya,sajatiya,
,svajatiyavada,svajatiya,
,sva-jatiyavadanta,svajatiya,sajatiya
,nijavada,nijamaya,nijamaina
,asapurnavadanta,,asapuritamaina
,nirasanadanta,nirasanaya,nirasagala
,nirasanadanta,nirasanaya,
,nirasanadanta,nirasayulla,
,nirasanada,nirasayulla,nirasacendina
,nirasanadanta,nirasayulla,nirasayaina
,ksitija,,ksitijamaina
,lambavada,lambamaya,
,virajamanaragiruva,,virajamayamaina
,satrutva hondidanta,,satrutvantokudina
,grismakalada,grisma kalatte,
,besige kala,,vesavi kalam
,alaukikavada,amanusikamaya,amanusamaina
,alaukikavadanta,amanusikaraya,alaukikamaina
,alaukikavadanta,amanusikamaya,
,alaukikavada,amanusikaraya,
,mrugiya,mrgiya,
,manusyabhaksiyada,,manavabhaksiyaina
,manusyabhaksiyada,,narabhaksiyaina
,hasyaspadavadanta,parihasya,hasyaspadamaina
,hasyaspadavada,parihasya,
,aturadantaha,,aturatagala
,pramukha,pramukha,
,bhavyavada,,bhavyamaina
,adambarapurnavada,adambara purnnamaya,
,adambarapurnavadanta,adambara purnnamaya,adambarapurvakamaina
,nisthuravada,,nisthuramaina
,abhivruddhihondida,,abhivrddhicendina
,sankramikavada,sankramika,
,asankramika,,asankramaina
,parityakta,parityaktayaya,
,anuvamsikavadanta,,anuvamsikamaina
,vamsaparamparyavadantaha,,vamsaparyaparamaina
,purvajara,,purvapu
,purvikara,purvvika,
,purvikara,paitrka,
,purvikara,paitrka,purvikula
,ananuvamsikavadanta,,anuvamsikata kani
,aparadhiyada,aparadhiyaya,aparadhakudaina
,aparadhiyada,aparadhiyaya,
,anindaniyavadanta,anindaniyaraya,nindaleni
,anindaniyavadanta,anindaniyaraya,
,adaya,,adayam
,preranatmakavada,prenatmakamaya,
,siksanatmaka,,siksanayutamaina
,anya jatiya,,antarjatiyudaina
,buddhivanta,buddhiman,
,murkharu,,murkhudu
,murkharu,,muskarudu
,alpabuddhiya,mudhanaya,
,buddhihina,,buddhihinudu
,alpabuddhiya,,alpabuddikalavadu
,alpajnanada,alpajnaraya,
,alpajnanada,alpajnaraya,alpajnanudu
,jijnasutanada,jijnasuvaya,jijnasamaina
,jijnasutanada,jijnasuvaya,
,antargatavada,,antargatangagala
,ekantapriyanadanta,,antarmanaskudaina
,antarmukhiyadantaha,antarmmukhanaya,atmabhimukhi
,antarmukhiyadanta,antarmmukhanaya,antarmukhiyaina
,antarmukhiyadanta,antarmmukhanaya,
,antarmukhiyada,antarmmukhanaya,antarabhimukhi
,bahirmukhi,bahirmukhanaya,bahirmukha
,bahirmukhi,bahirmukhanaya,
,balavardhaka,balavarddhakamaya,
,balavardhaka,balavarddhaka,
,sphurtidayakavadanta,,spurti dayakamaina
,jivadharaka,sancivani,
,jivadharaka,jivan raksa,jivanadayi
,jivadharaka,sancivani,sanjivani
,jivadharaka,jivan raksa,
,duhkhatapta,duhkhavastha,
,sokagrasta,sokavastha,
,duhkhatapta,duhkhavastha,duhkhapatu
,ullasapurnavada,ullasapurnnamaya,
,prasannavadantaha,,prasannakaramaina
,rasikanada,rasikanaya,
,jnanapurnavadantaha,,jnanapurvakamaina
,avicaritavada,avicaritamayi,
,unnatavada,,vunnatamaina
,sresthavada,srestamaya,
,ativisalavada,,ati visalamaina
,parvada akara,parvvatakaramaya,
,parvata-akara,parvvatakaramaya,parvatakaram
,nisiddhavada,,nisiddhamaina
,palakakarta,,palanakarta
,bhinnavada,bhinnamaya,
,avadhihina,,avadhileni
,murugalugala,,mudupadalugala
,abhivruddhihondida,,abhivrddhiparacina
,anekaksariyavada,anekaksaramulla,anekaksarala
,anekaksariyavada,anekaksaramulla,
,murida,murinna,
,bahukalina,bahuvarsikalaya,
,dirgha,dirghamaya,
,dirgha,dirghamaya,dirgham
,tivravadanta,,tivra maina
,jaiyisida,,jayincina
,madhura svara,madhuramaya,
,madhura svara,madhuramulla,madhuramaina
,abhinanditavadanta,,abhinandincabadina
,prasamsaniyavada,,prasamsimpabadina
,prasamsaniyavadantaha,,prasamsaniyamaina
,sulaksana,,sulaksanam
,suksma,suksma,
,suksmavada,suksmamaya,suksmamaina
,prathamikavadanta,prathamikamaya,prathamikamaina
,apradhana,apradhanamaya,
,apradhana,apradhanamaya,apradhanamaina
,apradhana,pradhanamallatta,
,purusa,,purusula
,purusa-sambandhi,purusasambandhamaya,
,lingarahitavadanta,lingarahitamaya,
,myacing,,myacing
,pakvavalladanta,pakvata illatta,
,nirarthakavadantaha,nirartthakamaya,anarthakamaina
,arthahina,vyartthamaya,vyarthamaina
,arthahina,vyartthamaya,vrthayaina
,nirarthaka,nirartthakamaya,nirarthakamaina
,nirarthaka,nirartthakamaya,
,arthahinavadantaha,vyartthamaya,arthahinamaina
,arthahinavadanta,vyartthamaya,
,aparimitavadanta,parimitamallatta,
,yantra-calita,yantra calitam,yantrikamaina
,yantra-calita,yantra calitam,
,mamsarahitavada,mamsarahita,
,apasvara,apasvaram,
,sangitamayavada,sangitatmakamaya,sangitamayamaina
,sangitamaya,sangitatmakamaya,
,sangitamaya,sangitatmakamaya,-sangitatmakamaina
,kruriyadanta,,krurudaina
,kruri,krurata,
,nirdayiyadanta,,nirdhayudaina
,komalavada,,komalamaina
,sivil kanunu,,sivil kortu
,rupantarita,,rupantaranamu
,rupantaritavada,,rupantaramaina
,madhyama,maddhyamamaya,
,atisayokti,atisayokti paramaya,atisayoktiyaina
,atisayokti,atisayokti paramaya,
,atyadhunika,atyadhunikamaya,atyadhunikamaina
,atyadhunika,atyadhunikamaya,
,garvarahita,,garvahina
,suksmatama,,ati suksmamaina
,bahu bhasiya,bahubhasa,
,bahu-bhasiya,bahubhasa,bahubhasiyudu
,bahu-bhaseya,bahubhasa,bahubhasalu
,naitikahinavada,,anaitikamaina
,niti virodhiyada,nitiviruddhamaya,
,niti virodhiyada,nitiviruddhamaya,nitiviruddhamaina
,karanavillada,karanamillatta,
,visvavyaptiyadantaha,visvavyapakamaya,
,visvavyaptiyadantaha,visvavyapakamaya,visvavyaptamaina
,bahurastriya,antarastriyamaya,
,bahurastriya,antarastriyamaya,antarjatiyam
,antararajyadanta,,antarrastramaina
,amrtadesiyavada,antarddesiyamaya,
,krutrimadanta,krtrimamaya,
,krutrimada,krtrimamaya,krtrimamu
,nakali,,nakali
,bhutada,,bhutamu
,camatkarikavada,,camatkaramaina
,sahajavada,,sahajamaina
,svabhavikavada,svabhavikamaya,svabhavikamaina
,svabhavikavada,svabhavikamaya,
,tatkalikavadantaha,tatkalikamaya,
,tatkalika,tatkalikamaya,tatkalikamaina
,anavasyakavadantaha,anavasyamaya,
,anavasyakavadantaha,anavasyamaya,anavasyakamaina
,visalahrudayada,,visala hrdayudaina
,daksinada,daksina,
,daksinada dikkina,,daksina dikkaina
,daksina-purva,daksinapurvvam,
,daksina-purva,daksinapurvvam,daksinabhagam
,tiraskrutavada,tiraskrtaraya,tiraskarincina
,tiraskaragonda,tiraskrtaraya,
,anubhavisida,,anubhavincina
,tiraskaradanta,,tiraskarudaina
,anugraha galisida,,anugrahinca badina
,anugrahita,anugrahitanaya,
,svatassiddha,svayam siddhamaya,svayamsidhdha
,svatassiddha,svayam siddhamaya,
,pratyaksavagi,pratyaksa,pratyaksamaina
,pratyaksavagi,pratyaksa,
,bhisanavadanta,,bhisanamaina
,bhikaravada,,bhikaramaina
,darunavada,darunamaya,
,raksatmakavada,suraksaparamaya,suraksatmakamaina
,raksatmakavada,suraksaparamaya,
,raksatmakavada,suraksaparamaya,raksatmakamaina
,sarkaretara,sarkkaritara,
,apariksita,,pariksincani
,vruddanada,vrddharaya,
,vayassada,vayassaya,
,madhyavayaskanada,maddhya vayaska,
,madhyavayaskanada,maddhya vayaska,madhyavayaskugala
,navajatavada,navajata,navajata
,navajatavada,navajata,
,asavadhiyada,,asavadulaina
,nirasavadiyada,,nirasavantudaina
,kramavillada,kramamallatta,
,asta-vyastavadanta,,avyavastanga
,avyavasthita,,astavyastanga
,sanghatitavada,,sanghatitamaina
,asanghatitavadanta,,sanghatitangaleni
,mamulina,,mamulaina
,samanyavada,,samanyamaina
,durlabhavadanta,durlbhamaya,durlabhamaina
,durlabhavada,durlbhamaya,
,manava nirmitavada,manusya nirmmita,manavakrtamaina
,manusyakruta,manusya srsti,
,manava nirmitavadanta,manusya nirmmita,
,manava nirmitavadanta,manusya nirmmita,manava nirnatamaina
,astha vyastha,,astavyastamaina
,nava,navinata,navinamaina
,nava,navinata,
,adhunikavada,,adhunikam
,nutana,,nutana
,nutana,,navina
,anukrutita,anukaricca,
,anukrutita,anukaricca,anusarincu
,anukarisida,anukaranam,anukaranam
,eleyulla,ilayulla,
,vetanavillada,sampalamillatta,
,hrudaya-vidroha,hrdayabhedakamaya,
,hrudaya-vidroha,hrdayabhedakamaya,hrdayavidarakamaina
,samanantara,samantaramaya,samantaramaina
,samanantara,samantaramaya,
,ksamahinavadanta,ksamikkanavatta,
,nisvartha,nisvarttharaya,svarthahinamaina
,svarthahina,nisvarttharaya,
,nisvartha,nisvarttharaya,nisvarthamaina
,nisvartha,nisvarttharaya,svarthamleni
,maji,,maji
,tatkalika,tatkala,
,bhavi,bhavikala,
,janmavettida,janmametutta,
,janisida,,janincina
,huttida,,puttina
,sanatha,sanathan,
,anathanada,anatharaya,
,matruhina,matrhinan,
,tandeyilladanta,tatanillatta,
,pitru sambandhavadantaha,,pitrsambandhamaina
,sahanasila,,sahanasili
,dhiratanada,dhairyavan,
,sahisnuvadanta,,sahisnuvain
,dhairyavilladantaha,dhairyamillattavanaya,
,adhairyadanta,,dhairyahinamaina
,asahisnuvina,,asahanamaina
,desabhakta,desabhaktiyulla,desabhaktudaina
,desabhakta,desabhaktiyulla,
,santipriya,santipriyanaya,santiyutapremi
,santipriya,santipriyanaya,santipriyamaina
,santipriya,santipriyanaya,
,pascatapagondanta,pascattapikkunna,pascattappadutunna
,pascatapagondanta,pascattapikkunna,
,indriyagamya,,indriyagocaramaina
,indriyatitavada,indriyatitamaya,
,kanalagada,,kanabadani
,paripurnavada,paripurnnamaya,
,purtiyada,,purtaina
,adarsadantaha,adarsavanaya,
,adarsadanta,adarsavanaya,adarsavantamaina
,bhedisaladanta,,bhedincabadina
,ekatmavadi,,ekatmavadi
,advaitavadi,advaita vadiyaya,advaitavadi
,advaitavadi,advaita vadiyaya,
,manovaijnanika,,manovaijnanikamaina
,astika,astikan,
,nastika,,nastikudu
,niyojita,yojicca,
,santosadanta,santosamulla,
,protsahita,protsahitanaya,
,aprasannavadanta,,aprasannamaina
,asantusthavada,asantustamaya,
,anandapradhavadanta,anandakaramaya,
,anandakariyadantaha,prasannatadayakamaya,
,sukhapradavadanta,sukhapradamaya,
,anandadayakavadantaha,anandadayakamaya,
,sandarbhocitavalladanta,sandarbhikamallatta,
,virodhatmaka,virodhatmakamaya,
,virodhatmaka,virodhatmakamaya,virodhamaina
,dhanatmaka,dhanatmaka,
,dhanatmaka,dhanatmaka,dhanatmakamaina
,sambhava,sambhavyamaya,
,sambhava,sambhavyamaya,sambhavamaina
,asadharana,asambhavyamaya,
,asadharana,asambhavyamaya,asambhavamaina
,asadharana,asambhavyamaya,asadhyamaina
,apraptavada,aprapyamaya,
,prabhavillada,,prabhavahinamaina
,prabhavarahitavadanta,,prabhavasunyamaina
,apaurusa,,napumsakudu
,purusatvahina,purusatvahinanaya,
,sarvasaktivanta,sarvasaktanaya,
,sarvasaktivanta,sarvasaktanaya,sarvasaktimantudu
,sarvasaktisali,sarvasaktanaya,sarvasaktisali
,adhikaravillada,adhikaramillatta,
,nissahayakavada,nissahayanaya,nissahayudaina
,nissahayakavadanta,nissahayanaya,
,anivaryavadanta,anivaryamaya,
,vidyamana,,siddamaina
,sarvavyapi,sarvavyapiyaya,sarvavyapakamaina
,sarvavyapi,sarvavyapiyaya,
,samuhikavada,samuhika,samuhikamaina
,samuhika,samuhika,
,prakatavadanta,,-prakatitamaina
,prakatavada,prakatamaya,
,utpannakaraka,,utpadakudu
,utpannakaraka,,utpadakarta
,anutpadakavadantaha,,anutpadakamaina
,sammruddhiprada,samrddhipradamaya,samrddiyaina
,airsvapradhayaka,aisvaryapradamaya,aisvaryavantamaina
,sammruddhiprada,samrddhipradamaya,
,airsvapradhayaka,aisvaryapradamaya,
,asabhyavadanta,sabhyamallatta,
,paripalaka,raksakan,samraksakudaina
,raksana-karta,,raksakudaina
,garbha-nirodhaka,garbhanirodhaka,
,garbha-nirodhakavadanta,garbhanirodhana,
,garbhanirodhakavada,garbhanirodhaka,garbhanirodhakamaina
,ahankariyadanta,ahankaram,
,vilambavadantaha,,vilambanamaina
,suddhavada,,suddhamaina
,svaccavada,,svacchamaina
,nirmalavada,,nirmalamaina
,uttirna,,uttirnata
,nisyabdhavada,nisabdamaya,
,santavadantaha,,santivantamaina
,andhavisvasa,andhavisvasi,
,andhavisvasadanta,andhavisvasi,anduvisvasiyaina
,ut prerepitavada,,utpreritamaina
,kriyarahita,,kriyahinamaina
,kriyarahitavadantaha,,kriyarahitamaina
,kriyarahitavada,,kriyaleni
,kalpita,kalpanikamaya,kalpitamaina
,kalpitavadanta,kalpanikamaya,kalpanikamaina
,kalpita,kalpanikamaya,
,indrajalada,,indrajalikamaina
,parasparika,,parasparamaina
,uttaravillada,uttaramillatta,
,susamskruta,susamskrtanaya,
,susamskruta,susamskrtanaya,samskrtigala
,asamskruta,apariskrtamaya,
,asabhyavada,,asabhyamaina
,anagarikavadanta,nagarikamallatta,
,samskarahinavadanta,,samskrtihinamaina
,pararu,,parayi
,anusangika,,prasangikamaina
,gauravabajana,,gauravimpabadina
,sabhyanada,,sabhyata
,uttaradayiyada,,uttaravadaina
,niyantraka,niyantrana,
,pratiphalisuvanta,pratiphalikkunna,
,navikrutavadanta,,navikrtamaina
,navikruta,navikaricca,
,vagadambaravada,,sabdhadambarata
,vagadambaravada,,padadambarata
,rasatmakavadantaha,kavyatmakamaya,kavitatmakamaina
,rasatmaka,kavyatmakamaya,rasatmakamaina
,kavyatmakavadantaha,kavyatmakamaya,kavyatmakamaina
,kavyatmakavadanta,kavyatmakamaya,padyatmakamaina
,kavyatmakavadantaha,kavyatmakamaya,
,padyatmaka,padyatamakamaya,
,dhanahina,nirdhanatvam,dhanahinudu
,daridradantaha,daridravastha,
,dina,dinata,
,dhanahina,nirdhanatvam,
,dhanahinavada,nirdhanatvam,nirdhanudu
,gariba,,garibu
,sadhanavihinavada,,dhanahinudaina
,savyasaciyada,,savyasaciyaina
,apamargi,,papakarmudaina
,mamsayukta,mamsamulla,
,gramina,,graminulu
,gramantara,graminaraya,
,punyavillada,punyamallatta,
,dharmikavadanta,,dharmikamaina
,preranadayakavadanta,preranajanyamaya,preranatmakamaina
,preranadayakavada,preranadayakamaya,
,preranatmaka,preranatmakamaya,
,preranatmakavadantaha,preranajanyamaya,preranadayakamaina
,preranatmakavadantaha,preranajanyamaya,
,dharmiyadanta,dharmmanisthan,
,dharmatmanada,dharmmikamaya,
,dharmanirapeksavada,matanirapeksa,
,suraksita,suraksitamaya,
,apayakariyadanta,apakatakaramaya,apayakaramaina
,apayakariyadantaha,apakatakaramaya,pramadakaramaina
,apayakariyadantaha,apakatakaramaya,
,samanada,samanamaya,
,nakalu,,nakili
,vibhinna bageya,,vibhinna rupangala
,vibhinna ritiyantaha,,bhinna rupangala
,vipaksiya,pratipaksattulla,pratipaksiya
,vipaksiyavada,pratipaksattulla,vipaksiya
,vipaksiyavada,pratipaksattulla,
,viruddavadanta,viruddhamaya,
,viruddavada,viruddhamaya,vairudhyamaina
,bere-bere,,veru-verayina
,vibhinna,,vibhinnamaina
,samarupi,,samarupam
,asantusta,atrptam,asantrptigala
,asantusta,atrptam,
,asantusta,atrptam,asantrptiyaina
,vyangyatmakavadanta,,vyangyatmakamaina
,pandityapurnavada,pandityamulla,
